source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	type	ncbi_tax_id_source	entity_type_source	ncbi_tax_id_target	entity_type_target
P08228	P00533	SOD1	EGFR	1	0	0	1	0	0	binding	10090	protein	9606	protein
P62832	P04637	CDK1	TP53	1	1	0	1	1	0	activation	10116	protein	9606	protein
P01106	P04406	MYC	GAPDH	1	1	0	1	1	0	phosphorylation	9606	protein	9606	protein
P42345	Q63356	MTOR	NFKB1	1	0	1	1	0	1	ubiquitination	9606	protein	10116	protein
Q63356	P62832	NFKB1	CDK1	1	1	0	1	1	0	activation	10116	protein	10116	protein
P28482	P07901	MAPK1	HSP90AA1	1	0	1	1	0	1	ubiquitination	9606	protein	10090	protein
P04637	Q9JHW1	TP53	CREB1	1	0	1	1	0	1	ubiquitination	9606	protein	10116	protein
P07901	P12023	HSP90AA1	APP	1	1	0	1	1	0	activation	10090	protein	10090	protein
P07901	P62744	HSP90AA1	RHOA	1	0	1	1	0	1	ubiquitination	10090	protein	10090	protein
P08228	P04637	SOD1	TP53	1	0	1	1	0	1	inhibition	10090	protein	9606	protein
P31749	P07901	AKT1	HSP90AA1	1	0	1	1	0	1	ubiquitination	9606	protein	10090	protein
P07901	P01106	HSP90AA1	MYC	1	0	1	1	0	1	ubiquitination	10090	protein	9606	protein
P28482	P38398	MAPK1	BRCA1	1	0	1	1	0	1	ubiquitination	9606	protein	9606	protein
Q63356	P62744	NFKB1	RHOA	1	0	1	1	0	1	inhibition	10116	protein	10090	protein
Q63356	P12023	NFKB1	APP	1	1	0	1	1	0	phosphorylation	10116	protein	10090	protein
P07901	P04406	HSP90AA1	GAPDH	1	0	0	1	0	0	binding	10090	protein	9606	protein
P04406	P04637	GAPDH	TP53	1	1	0	1	1	0	activation	9606	protein	9606	protein
P31749	P04637	AKT1	TP53	1	1	0	1	1	0	phosphorylation	9606	protein	9606	protein
P04406	P12023	GAPDH	APP	1	1	0	1	1	0	activation	9606	protein	10090	protein
P04637	P28482	TP53	MAPK1	1	1	0	1	1	0	activation	9606	protein	9606	protein
P04637	Q9JHW1	TP53	CREB1	1	0	1	1	0	1	ubiquitination	9606	protein	10116	protein
P01106	P04406	MYC	gapdh	1	1	0	1	1	0	phosphorylation	9606	protein	9606	protein
P00533	P08228	EGFR	SOD1	0	1	1	0	0	1	binding	9606	protein	10090	protein
